,Departamento,Municipio,aguacate,arroz,cafe,cebollaC,papa
25,Guainía,Mapiripana,No apta,"No apta,Aptitud baja","No apta,Exclusión legal","Exclusión legal,Aptitud media",No apta
26,Meta,Puerto López,No apta,No apta,Exclusión legal,No apta,No apta
27,Chocó,Alto Baudó (Pie de Pato),Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal
28,Risaralda,Santa Rosa de Cabal,No apta,No apta,No apta,No apta,No apta
29,Risaralda,Santuario,No apta,No apta,No apta,"Aptitud alta,Exclusión legal",Exclusión legal
30,Antioquia,Santuario,No apta,No apta,No apta,"Aptitud media,Exclusión legal",No apta
31,Caldas,Salamina,Exclusión legal,Exclusión legal,No apta,Exclusión legal,No apta
32,Magdalena,Salamina,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal
33,Caldas,Aguadas,Exclusión legal,"Aptitud baja,Aptitud alta",No apta,"Aptitud alta,Aptitud baja",Exclusión legal
34,Caldas,Samaná,Exclusión legal,Exclusión legal,Aptitud alta,Exclusión legal,Exclusión legal
35,Antioquia,Retiro,No apta,Exclusión legal,"Aptitud baja,Aptitud media","Aptitud media,Aptitud alta",No apta
36,Antioquia,Rionegro,No apta,Exclusión legal,No apta,"Aptitud alta,Exclusión legal",Aptitud media
37,Santander,Rionegro,"Aptitud baja,No apta","No apta,Aptitud media",Aptitud alta,No apta,Exclusión legal
38,Antioquia,Betulia,No apta,"No apta,Aptitud alta",No apta,No apta,Aptitud media
39,Santander,Betulia,Exclusión legal,Aptitud media,Aptitud alta,Aptitud media,Exclusión legal
40,Antioquia,Caicedo,"Aptitud alta,Exclusión legal",No apta,No apta,No apta,No apta
41,Antioquia,Belmira,"Aptitud baja,Aptitud alta",No apta,Exclusión legal,Aptitud media,Aptitud media
42,Antioquia,Liborina,Aptitud media,"Aptitud media,No apta",Aptitud alta,"No apta,Aptitud baja",Aptitud baja
43,Antioquia,Turbo,No apta,No apta,No apta,No apta,No apta
44,Cundinamarca,Sesquilé,Aptitud media,Exclusión legal,Exclusión legal,No apta,No apta
45,Cundinamarca,Tibirita,"Aptitud alta,Aptitud media",Exclusión legal,Aptitud alta,No apta,Aptitud media
46,Cundinamarca,Cogua,"Aptitud alta,Aptitud media",Exclusión legal,Exclusión legal,"Aptitud baja,Aptitud alta",No apta
47,Boyacá,Úmbita,Aptitud alta,Exclusión legal,Aptitud alta,No apta,No apta
48,Cundinamarca,Susa,No apta,No apta,Exclusión legal,No apta,No apta
49,Boyacá,Motavita,Exclusión legal,Exclusión legal,Exclusión legal,Aptitud media,"Aptitud alta,Aptitud media"
50,Boyacá,Chíquiza,Exclusión legal,Exclusión legal,Exclusión legal,Aptitud media,No apta
51,Boyacá,Villa de Leiva,"Aptitud media,Aptitud alta",No apta,No apta,No apta,No apta
52,Boyacá,Arcabuco,No apta,No apta,"Exclusión legal,No apta",No apta,No apta
53,Boyacá,Paz de Río,"Exclusión legal,Aptitud media",Exclusión legal,Exclusión legal,No apta,No apta
54,Santander,Suaita,No apta,Exclusión legal,Aptitud alta,"No apta,Aptitud media",Exclusión legal
55,Santander,La Paz,No apta,Exclusión legal,No apta,Aptitud media,Exclusión legal
56,Cesar,La Paz,Aptitud alta,Aptitud alta,Aptitud alta,Aptitud media,No apta
57,Santander,Charalá,No apta,Exclusión legal,Aptitud alta,No apta,Exclusión legal
58,Boyacá,Tipacoque,"Exclusión legal,No apta",Exclusión legal,Aptitud baja,"Aptitud media,Aptitud baja","No apta,Aptitud alta"
59,Santander,Onzaga,Aptitud baja,Exclusión legal,Aptitud alta,No apta,No apta
60,Santander,El Carmen,No apta,No apta,Aptitud alta,No apta,No apta
61,Chocó,El Carmen,No apta,No apta,No apta,No apta,No apta
62,Norte de Santander,El Carmen,No apta,No apta,Aptitud alta,No apta,No apta
63,Santander,Floridablanca,"Exclusión legal,Aptitud alta",No apta,No apta,"Aptitud media,No apta",Exclusión legal
64,Norte de Santander,Labateca,No apta,Exclusión legal,Aptitud alta,No apta,No apta
65,Cesar,San Martín,"Exclusión legal,No apta",No apta,No apta,No apta,"No apta,Exclusión legal"
66,Meta,San Martín,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud baja,Exclusión legal
67,Norte de Santander,Ábrego,Aptitud media,Exclusión legal,Aptitud alta,Aptitud media,No apta
68,Cesar,Pueblo Bello,"Exclusión legal,Aptitud alta",No apta,Aptitud alta,No apta,No apta
69,La Guajira,San Juan del Cesar,No apta,No apta,No apta,No apta,No apta
70,La Guajira,Riohacha,No apta,Exclusión legal,No apta,Aptitud alta,No apta
71,Caquetá,Morelia,"No apta,Exclusión legal",Aptitud media,Aptitud baja,No apta,"No apta,Exclusión legal"
72,Meta,Lejanías,Exclusión legal,No apta,Aptitud alta,No apta,Exclusión legal
73,Meta,Mesetas,No apta,No apta,No apta,No apta,No apta
74,Meta,Guamal,No apta,No apta,No apta,No apta,No apta
75,Magdalena,Guamal,Exclusión legal,No apta,Exclusión legal,"Aptitud media,Aptitud alta",Exclusión legal
76,Meta,San Juanito,Aptitud alta,"No apta,Exclusión legal",No apta,Aptitud alta,"No apta,Exclusión legal"
77,Valle del Cauca,Cartago,Exclusión legal,No apta,No apta,No apta,Exclusión legal
78,Tolima,Murillo,Aptitud media,Exclusión legal,Aptitud alta,Aptitud baja,No apta
79,Tolima,Villahermosa,No apta,Exclusión legal,Aptitud alta,Aptitud baja,No apta
80,Antioquia,Sonsón,No apta,Exclusión legal,Aptitud alta,No apta,No apta
81,Antioquia,Abejorral,No apta,Exclusión legal,Aptitud alta,"Aptitud baja,Exclusión legal",No apta
82,Caldas,Pensilvania,No apta,No apta,No apta,No apta,No apta
83,Antioquia,San Francisco,No apta,"Aptitud media,Aptitud baja",Aptitud alta,No apta,No apta
84,Cundinamarca,San Francisco,"Aptitud baja,Exclusión legal",Exclusión legal,Aptitud alta,Aptitud media,Aptitud alta
85,Putumayo,San Francisco,"Aptitud media,No apta",Exclusión legal,Aptitud baja,No apta,"Aptitud media,Exclusión legal"
86,Antioquia,Carmen de Viboral,No apta,No apta,No apta,No apta,No apta
87,Córdoba,Montería,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
88,Sucre,Sincelejo,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
89,Cundinamarca,Junín,No apta,Exclusión legal,Exclusión legal,No apta,No apta
90,Cundinamarca,Pacho,No apta,Exclusión legal,Aptitud alta,No apta,No apta
91,Boyacá,Tibaná,No apta,"No apta,Exclusión legal",No apta,No apta,No apta
92,Boyacá,Toca,No apta,Exclusión legal,Exclusión legal,No apta,"Aptitud media,Exclusión legal"
